periodos_rsi,rsi_base,rsi_teto,resultado_df
14,19,80,"Valor final investido                               1122.943793
Resultado percentual final                            11.599637
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.486555
Quantidade de operações positivas                     74.000000
Percentual de operações positivas                     77.894737
Quantidade de operações negativas                     21.000000
Percentual de operações negativas                     22.105263
Media resultados comprados                             0.273809
Media resultados venda                                 0.006916
Número abertura de compra                             42.000000
Número abertura de venda                              54.000000
Número fechamento de compra                           41.000000
Número fechamento de venda                            54.000000
Total de operações abertas                            96.000000
Total de operações finalizadas                        95.000000
Maior rebaixamento ma conta durante operacoes        998.216526
Maior valor alcançado na conta durante operacoes    1197.172477
Name: 0, dtype: float64"
14,19,81,"Valor final investido                               1095.476322
Resultado percentual final                             9.113271
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.486555
Quantidade de operações positivas                     67.000000
Percentual de operações positivas                     77.011494
Quantidade de operações negativas                     20.000000
Percentual de operações negativas                     22.988506
Media resultados comprados                             0.266545
Media resultados venda                                -0.032948
Número abertura de compra                             41.000000
Número abertura de venda                              47.000000
Número fechamento de compra                           40.000000
Número fechamento de venda                            47.000000
Total de operações abertas                            88.000000
Total de operações finalizadas                        87.000000
Maior rebaixamento ma conta durante operacoes        993.381064
Maior valor alcançado na conta durante operacoes    1172.151452
Name: 0, dtype: float64"
14,19,82,"Valor final investido                               1102.548556
Resultado percentual final                             9.747313
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.486555
Quantidade de operações positivas                     65.000000
Percentual de operações positivas                     76.470588
Quantidade de operações negativas                     20.000000
Percentual de operações negativas                     23.529412
Media resultados comprados                             0.279004
Media resultados venda                                -0.031396
Número abertura de compra                             41.000000
Número abertura de venda                              45.000000
Número fechamento de compra                           40.000000
Número fechamento de venda                            45.000000
Total de operações abertas                            86.000000
Total de operações finalizadas                        85.000000
Maior rebaixamento ma conta durante operacoes        993.381064
Maior valor alcançado na conta durante operacoes    1179.573845
Name: 0, dtype: float64"
14,19,83,"Valor final investido                               1118.438441
Resultado percentual final                            11.156913
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.453822
Quantidade de operações positivas                     62.000000
Percentual de operações positivas                     76.543210
Quantidade de operações negativas                     19.000000
Percentual de operações negativas                     23.456790
Media resultados comprados                             0.290882
Media resultados venda                                -0.011667
Número abertura de compra                             41.000000
Número abertura de venda                              41.000000
Número fechamento de compra                           40.000000
Número fechamento de venda                            41.000000
Total de operações abertas                            82.000000
Total de operações finalizadas                        81.000000
Maior rebaixamento ma conta durante operacoes        993.927560
Maior valor alcançado na conta durante operacoes    1190.006476
Name: 0, dtype: float64"
14,19,84,"Valor final investido                               1141.491011
Resultado percentual final                            13.183307
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.453822
Quantidade de operações positivas                     62.000000
Percentual de operações positivas                     78.481013
Quantidade de operações negativas                     17.000000
Percentual de operações negativas                     21.518987
Media resultados comprados                             0.330217
Media resultados venda                                -0.000651
Número abertura de compra                             41.000000
Número abertura de venda                              39.000000
Número fechamento de compra                           40.000000
Número fechamento de venda                            39.000000
Total de operações abertas                            80.000000
Total de operações finalizadas                        79.000000
Maior rebaixamento ma conta durante operacoes        995.108255
Maior valor alcançado na conta durante operacoes    1188.468580
Name: 0, dtype: float64"
15,15,80,"Valor final investido                               1078.167689
Resultado percentual final                             3.350189
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -3.271924
Quantidade de operações positivas                     39.000000
Percentual de operações positivas                     81.250000
Quantidade de operações negativas                      9.000000
Percentual de operações negativas                     18.750000
Media resultados comprados                             0.425625
Media resultados venda                                -0.125336
Número abertura de compra                             17.000000
Número abertura de venda                              32.000000
Número fechamento de compra                           17.000000
Número fechamento de venda                            31.000000
Total de operações abertas                            49.000000
Total de operações finalizadas                        48.000000
Maior rebaixamento ma conta durante operacoes        981.800719
Maior valor alcançado na conta durante operacoes    1133.383544
Name: 0, dtype: float64"
15,15,81,"Valor final investido                               1069.482060
Resultado percentual final                             2.545613
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -3.271924
Quantidade de operações positivas                     35.000000
Percentual de operações positivas                     79.545455
Quantidade de operações negativas                      9.000000
Percentual de operações negativas                     20.454545
Media resultados comprados                             0.433211
Media resultados venda                                -0.178481
Número abertura de compra                             17.000000
Número abertura de venda                              28.000000
Número fechamento de compra                           17.000000
Número fechamento de venda                            27.000000
Total de operações abertas                            45.000000
Total de operações finalizadas                        44.000000
Maior rebaixamento ma conta durante operacoes        976.550428
Maior valor alcançado na conta durante operacoes    1124.225761
Name: 0, dtype: float64"
15,15,82,"Valor final investido                               1069.509675
Resultado percentual final                             2.546518
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -3.271924
Quantidade de operações positivas                     35.000000
Percentual de operações positivas                     79.545455
Quantidade de operações negativas                      9.000000
Percentual de operações negativas                     20.454545
Media resultados comprados                             0.438336
Media resultados venda                                -0.181674
Número abertura de compra                             17.000000
Número abertura de venda                              28.000000
Número fechamento de compra                           17.000000
Número fechamento de venda                            27.000000
Total de operações abertas                            45.000000
Total de operações finalizadas                        44.000000
Maior rebaixamento ma conta durante operacoes        976.721114
Maior valor alcançado na conta durante operacoes    1123.836315
Name: 0, dtype: float64"
15,15,83,"Valor final investido                               1055.544264
Resultado percentual final                             3.505708
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -3.271924
Quantidade de operações positivas                     35.000000
Percentual de operações positivas                     81.395349
Quantidade de operações negativas                      8.000000
Percentual de operações negativas                     18.604651
Media resultados comprados                             0.446514
Media resultados venda                                -0.157117
Número abertura de compra                             17.000000
Número abertura de venda                              27.000000
Número fechamento de compra                           17.000000
Número fechamento de venda                            26.000000
Total de operações abertas                            44.000000
Total de operações finalizadas                        43.000000
Maior rebaixamento ma conta durante operacoes        986.583360
Maior valor alcançado na conta durante operacoes    1122.493447
Name: 0, dtype: float64"
15,15,84,"Valor final investido                               1076.530191
Resultado percentual final                             5.360342
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -3.271924
Quantidade de operações positivas                     35.000000
Percentual de operações positivas                     81.395349
Quantidade de operações negativas                      8.000000
Percentual de operações negativas                     18.604651
Media resultados comprados                             0.466032
Media resultados venda                                -0.098546
Número abertura de compra                             17.000000
Número abertura de venda                              27.000000
Número fechamento de compra                           17.000000
Número fechamento de venda                            26.000000
Total de operações abertas                            44.000000
Total de operações finalizadas                        43.000000
Maior rebaixamento ma conta durante operacoes        991.852755
Maior valor alcançado na conta durante operacoes    1123.110973
Name: 0, dtype: float64"
